{:process 0, :type :ok, :f :read, :value 778871892797868614378878137355432431811200916979328327230186651196270392503312374106941152747058798739100543770401215633827734523318329593892932254719013988340993726897306591019600534022988970364154084765868720093696084103159586187773481255376635466078383553191069337654104799555162912460709007160828548119085891004561553663571884638661660341674042398674221301784752139385642246507366901243432039364212976222072021811937373786634255444286615937010316165435218635390730693386308349177710253318869052131472304158277948183616424320553820252768505311321985747279445729074242212963207415189828962666563909331547077710441523332708676198123208905908942206659031099808630052853363379509385280481363347542849195625595723273413561815562846976750210704221564830911670874564331374564288356839041418495063699856225743589284189422281998559456289753321441882926175586531499327214566903013205944693266526450171530442743096702261589331987114599533720349931177445380690312063138702736841979813363533686084327399565369457530187452910731183812}
{:process 4, :type :invoke, :f :write, :value 358303433962878380104315290347385237783079478216548980721766696139129448586439283193366452223057281126284847987497825491835142061293813417208177852413796200618758131675617454139590861702775840875944408243876836034207606100380896248082561266090632394924252452078808256395214489630152799034453255273824366906079006495390955592019524070691290302041703898568871943543622961101528898179256235349906288477707151950970015830384596314373053960076385386091249899542982389887104934482203328417384872020910623218677099442285143722925236410733610531475815559021345068801804187331490184651663719515398590108131292400866944525478229298230043364504812607071720562684407401959301982145062156102660022962279100410757455691523902024413930863014189045526678079491835128215716146142824602421560955688421194911747929480844921138896851990603787491651858262575386261360343931692058355102351019636064218521690118143685831242107903336309670903717297881125557250785545604894187137837949614459440196686368786591274198051616870082670406294145285796711}
{:process 3, :type :invoke, :f :write, :value 358303433962878380104315290347385237783079478216548980721766696139129448586439283193366452223057281126284847987497825491835142061293813417208177852413796200618758131675617454139590861702775840875944408243876836034207606100380896248082561266090632394924252452078808256395214489630152799034453255273824366906079006495390955592019524070691290302041703898568871943543622961101528898179256235349906288477707151950970015830384596314373053960076385386091249899542982389887104934482203328417384872020910623218677099442285143722925236410733610531475815559021345068801804187331490184651663719515398590108131292400866944525478229298230043364504812607071720562684407401959301982145062156102660022962279100410757455691523902024413930863014189045526678079491835128215716146142824602421560955688421194911747929480844921138896851990603787491651858262575386261360343931692058355102351019636064218521690118143685831242107903336309670903717297881125557250785545604894187137837949614459440196686368786591274198051616870082670406294145285796711}
{:process 2, :type :invoke, :f :write, :value 358303433962878380104315290347385237783079478216548980721766696139129448586439283193366452223057281126284847987497825491835142061293813417208177852413796200618758131675617454139590861702775840875944408243876836034207606100380896248082561266090632394924252452078808256395214489630152799034453255273824366906079006495390955592019524070691290302041703898568871943543622961101528898179256235349906288477707151950970015830384596314373053960076385386091249899542982389887104934482203328417384872020910623218677099442285143722925236410733610531475815559021345068801804187331490184651663719515398590108131292400866944525478229298230043364504812607071720562684407401959301982145062156102660022962279100410757455691523902024413930863014189045526678079491835128215716146142824602421560955688421194911747929480844921138896851990603787491651858262575386261360343931692058355102351019636064218521690118143685831242107903336309670903717297881125557250785545604894187137837949614459440196686368786591274198051616870082670406294145285796711}
{:process 1, :type :invoke, :f :write, :value 358303433962878380104315290347385237783079478216548980721766696139129448586439283193366452223057281126284847987497825491835142061293813417208177852413796200618758131675617454139590861702775840875944408243876836034207606100380896248082561266090632394924252452078808256395214489630152799034453255273824366906079006495390955592019524070691290302041703898568871943543622961101528898179256235349906288477707151950970015830384596314373053960076385386091249899542982389887104934482203328417384872020910623218677099442285143722925236410733610531475815559021345068801804187331490184651663719515398590108131292400866944525478229298230043364504812607071720562684407401959301982145062156102660022962279100410757455691523902024413930863014189045526678079491835128215716146142824602421560955688421194911747929480844921138896851990603787491651858262575386261360343931692058355102351019636064218521690118143685831242107903336309670903717297881125557250785545604894187137837949614459440196686368786591274198051616870082670406294145285796711}
{:process 0, :type :invoke, :f :read, :value nil}
{:process 2, :type :ok, :f :write, :value 358303433962878380104315290347385237783079478216548980721766696139129448586439283193366452223057281126284847987497825491835142061293813417208177852413796200618758131675617454139590861702775840875944408243876836034207606100380896248082561266090632394924252452078808256395214489630152799034453255273824366906079006495390955592019524070691290302041703898568871943543622961101528898179256235349906288477707151950970015830384596314373053960076385386091249899542982389887104934482203328417384872020910623218677099442285143722925236410733610531475815559021345068801804187331490184651663719515398590108131292400866944525478229298230043364504812607071720562684407401959301982145062156102660022962279100410757455691523902024413930863014189045526678079491835128215716146142824602421560955688421194911747929480844921138896851990603787491651858262575386261360343931692058355102351019636064218521690118143685831242107903336309670903717297881125557250785545604894187137837949614459440196686368786591274198051616870082670406294145285796711}
{:process 4, :type :ok, :f :write, :value 358303433962878380104315290347385237783079478216548980721766696139129448586439283193366452223057281126284847987497825491835142061293813417208177852413796200618758131675617454139590861702775840875944408243876836034207606100380896248082561266090632394924252452078808256395214489630152799034453255273824366906079006495390955592019524070691290302041703898568871943543622961101528898179256235349906288477707151950970015830384596314373053960076385386091249899542982389887104934482203328417384872020910623218677099442285143722925236410733610531475815559021345068801804187331490184651663719515398590108131292400866944525478229298230043364504812607071720562684407401959301982145062156102660022962279100410757455691523902024413930863014189045526678079491835128215716146142824602421560955688421194911747929480844921138896851990603787491651858262575386261360343931692058355102351019636064218521690118143685831242107903336309670903717297881125557250785545604894187137837949614459440196686368786591274198051616870082670406294145285796711}
{:process 1, :type :ok, :f :write, :value 358303433962878380104315290347385237783079478216548980721766696139129448586439283193366452223057281126284847987497825491835142061293813417208177852413796200618758131675617454139590861702775840875944408243876836034207606100380896248082561266090632394924252452078808256395214489630152799034453255273824366906079006495390955592019524070691290302041703898568871943543622961101528898179256235349906288477707151950970015830384596314373053960076385386091249899542982389887104934482203328417384872020910623218677099442285143722925236410733610531475815559021345068801804187331490184651663719515398590108131292400866944525478229298230043364504812607071720562684407401959301982145062156102660022962279100410757455691523902024413930863014189045526678079491835128215716146142824602421560955688421194911747929480844921138896851990603787491651858262575386261360343931692058355102351019636064218521690118143685831242107903336309670903717297881125557250785545604894187137837949614459440196686368786591274198051616870082670406294145285796711}
{:process 3, :type :ok, :f :write, :value 358303433962878380104315290347385237783079478216548980721766696139129448586439283193366452223057281126284847987497825491835142061293813417208177852413796200618758131675617454139590861702775840875944408243876836034207606100380896248082561266090632394924252452078808256395214489630152799034453255273824366906079006495390955592019524070691290302041703898568871943543622961101528898179256235349906288477707151950970015830384596314373053960076385386091249899542982389887104934482203328417384872020910623218677099442285143722925236410733610531475815559021345068801804187331490184651663719515398590108131292400866944525478229298230043364504812607071720562684407401959301982145062156102660022962279100410757455691523902024413930863014189045526678079491835128215716146142824602421560955688421194911747929480844921138896851990603787491651858262575386261360343931692058355102351019636064218521690118143685831242107903336309670903717297881125557250785545604894187137837949614459440196686368786591274198051616870082670406294145285796711}
{:process 0, :type :ok, :f :read, :value 358303433962878380104315290347385237783079478216548980721766696139129448586439283193366452223057281126284847987497825491835142061293813417208177852413796200618758131675617454139590861702775840875944408243876836034207606100380896248082561266090632394924252452078808256395214489630152799034453255273824366906079006495390955592019524070691290302041703898568871943543622961101528898179256235349906288477707151950970015830384596314373053960076385386091249899542982389887104934482203328417384872020910623218677099442285143722925236410733610531475815559021345068801804187331490184651663719515398590108131292400866944525478229298230043364504812607071720562684407401959301982145062156102660022962279100410757455691523902024413930863014189045526678079491835128215716146142824602421560955688421194911747929480844921138896851990603787491651858262575386261360343931692058355102351019636064218521690118143685831242107903336309670903717297881125557250785545604894187137837949614459440196686368786591274198051616870082670406294145285796711}
