{:process 0, :type :invoke, :f :read, :value nil}
{:process 1, :type :invoke, :f :write, :value 669640427782285896881748987091250334578266497996876941941640087020679406367286864770084161369063241193921649547134132869197216650991285371548251987183295248804093233760134961052780332056856277790198302098115515648845642470169170932131165826402406062401418647650193202714354594312862925789576785328529174755309587989650727307959703631206956805513770743675580652035157752554035502698177626881087512409667080542921938612290611384725983683657861154117368549699361051331696694729433361227306354652885977836229484921065797523998199906681435594088304093748239378460249384043663493892486431360308322473097365804115555398746776820099399255937358003842638305180419368413107964766142535488196159016159499385954680065623435270491209178206003482680262727274514836763786586946336373745492945520326797377164717366830691887652694585234140533489094354434212683231976402665005114849205846006521828489647347980366507281814568652790865591401767319038439805890182160839090168109024069960759989395380509736548670079997184292134862814887654613610}
{:process 2, :type :invoke, :f :write, :value 669640427782285896881748987091250334578266497996876941941640087020679406367286864770084161369063241193921649547134132869197216650991285371548251987183295248804093233760134961052780332056856277790198302098115515648845642470169170932131165826402406062401418647650193202714354594312862925789576785328529174755309587989650727307959703631206956805513770743675580652035157752554035502698177626881087512409667080542921938612290611384725983683657861154117368549699361051331696694729433361227306354652885977836229484921065797523998199906681435594088304093748239378460249384043663493892486431360308322473097365804115555398746776820099399255937358003842638305180419368413107964766142535488196159016159499385954680065623435270491209178206003482680262727274514836763786586946336373745492945520326797377164717366830691887652694585234140533489094354434212683231976402665005114849205846006521828489647347980366507281814568652790865591401767319038439805890182160839090168109024069960759989395380509736548670079997184292134862814887654613610}
{:process 3, :type :invoke, :f :write, :value 669640427782285896881748987091250334578266497996876941941640087020679406367286864770084161369063241193921649547134132869197216650991285371548251987183295248804093233760134961052780332056856277790198302098115515648845642470169170932131165826402406062401418647650193202714354594312862925789576785328529174755309587989650727307959703631206956805513770743675580652035157752554035502698177626881087512409667080542921938612290611384725983683657861154117368549699361051331696694729433361227306354652885977836229484921065797523998199906681435594088304093748239378460249384043663493892486431360308322473097365804115555398746776820099399255937358003842638305180419368413107964766142535488196159016159499385954680065623435270491209178206003482680262727274514836763786586946336373745492945520326797377164717366830691887652694585234140533489094354434212683231976402665005114849205846006521828489647347980366507281814568652790865591401767319038439805890182160839090168109024069960759989395380509736548670079997184292134862814887654613610}
{:process 4, :type :ok, :f :write, :value 836613938605337611291042431900803464979751484267587891236446428786293389539976946655970516358138777226371390184769557728476481378210050109119605772656713353400453658678781664361728319647909144510399479558994388120386207113866028965830651280114344984808406208096792067107318945463865605355356256454184048834572989641296934859616044648642101319276495210695778392856821251404551191734925792531836430767028493614907399861044329162260164914477867818917031663771017234745394092993914619905272696529915666288477988352442991471025148604352191099946393502641963477460895226347554183455840936306242451995839507915483067262012639886195690870764232550476779165245866446643911364731788658566090598255029313469132200367346945124060564617973086538787511125839457623096704234887957608732416463326757529952650566328112463221754349203210478554389110578192278824956570539504032174121233482266981530706766180699223547897235943228599167905986000457368083798142111040732430250595223242523539740974160335550520242689041594770789416661116181107686}
{:process 3, :type :ok, :f :write, :value 669640427782285896881748987091250334578266497996876941941640087020679406367286864770084161369063241193921649547134132869197216650991285371548251987183295248804093233760134961052780332056856277790198302098115515648845642470169170932131165826402406062401418647650193202714354594312862925789576785328529174755309587989650727307959703631206956805513770743675580652035157752554035502698177626881087512409667080542921938612290611384725983683657861154117368549699361051331696694729433361227306354652885977836229484921065797523998199906681435594088304093748239378460249384043663493892486431360308322473097365804115555398746776820099399255937358003842638305180419368413107964766142535488196159016159499385954680065623435270491209178206003482680262727274514836763786586946336373745492945520326797377164717366830691887652694585234140533489094354434212683231976402665005114849205846006521828489647347980366507281814568652790865591401767319038439805890182160839090168109024069960759989395380509736548670079997184292134862814887654613610}
{:process 0, :type :ok, :f :read, :value 669640427782285896881748987091250334578266497996876941941640087020679406367286864770084161369063241193921649547134132869197216650991285371548251987183295248804093233760134961052780332056856277790198302098115515648845642470169170932131165826402406062401418647650193202714354594312862925789576785328529174755309587989650727307959703631206956805513770743675580652035157752554035502698177626881087512409667080542921938612290611384725983683657861154117368549699361051331696694729433361227306354652885977836229484921065797523998199906681435594088304093748239378460249384043663493892486431360308322473097365804115555398746776820099399255937358003842638305180419368413107964766142535488196159016159499385954680065623435270491209178206003482680262727274514836763786586946336373745492945520326797377164717366830691887652694585234140533489094354434212683231976402665005114849205846006521828489647347980366507281814568652790865591401767319038439805890182160839090168109024069960759989395380509736548670079997184292134862814887654613610}
{:process 1, :type :ok, :f :write, :value 669640427782285896881748987091250334578266497996876941941640087020679406367286864770084161369063241193921649547134132869197216650991285371548251987183295248804093233760134961052780332056856277790198302098115515648845642470169170932131165826402406062401418647650193202714354594312862925789576785328529174755309587989650727307959703631206956805513770743675580652035157752554035502698177626881087512409667080542921938612290611384725983683657861154117368549699361051331696694729433361227306354652885977836229484921065797523998199906681435594088304093748239378460249384043663493892486431360308322473097365804115555398746776820099399255937358003842638305180419368413107964766142535488196159016159499385954680065623435270491209178206003482680262727274514836763786586946336373745492945520326797377164717366830691887652694585234140533489094354434212683231976402665005114849205846006521828489647347980366507281814568652790865591401767319038439805890182160839090168109024069960759989395380509736548670079997184292134862814887654613610}
{:process 2, :type :ok, :f :write, :value 669640427782285896881748987091250334578266497996876941941640087020679406367286864770084161369063241193921649547134132869197216650991285371548251987183295248804093233760134961052780332056856277790198302098115515648845642470169170932131165826402406062401418647650193202714354594312862925789576785328529174755309587989650727307959703631206956805513770743675580652035157752554035502698177626881087512409667080542921938612290611384725983683657861154117368549699361051331696694729433361227306354652885977836229484921065797523998199906681435594088304093748239378460249384043663493892486431360308322473097365804115555398746776820099399255937358003842638305180419368413107964766142535488196159016159499385954680065623435270491209178206003482680262727274514836763786586946336373745492945520326797377164717366830691887652694585234140533489094354434212683231976402665005114849205846006521828489647347980366507281814568652790865591401767319038439805890182160839090168109024069960759989395380509736548670079997184292134862814887654613610}
{:process 4, :type :invoke, :f :write, :value 244619964317464280406919508770016677693244283803853565627416617297956500120421706372036707360290107759973235336163589259105246467152179493026834382229349163729437764833155930388731687793177232909314841344394497758437964600820953548694253712680425411891073391647438853444814076519628028559845588696150633263914008903970064515494219294610924534644931939603162783812294508151515120445406714983366705375282356168332974767155403206735456713342375862238075736368151629412846093570905904478226031405366542162439621433881823657099545292420684878912312626181082146967309398797688031213054252498386019268247927943086681209678508121047063975969497078498357309342468197584273432349180235968914350189850589843077117130848639266304480430636935866771986961098640288454437223829499887493794558779626289913215456356295774249228102923836187624470019508945879909103686224908455458519603110203333603427148983740511674005225550030685399309673756014436961636962922673513693188811255073158044268426909260509580727426942746284247839957037185379232}
{:process 3, :type :invoke, :f :write, :value 244619964317464280406919508770016677693244283803853565627416617297956500120421706372036707360290107759973235336163589259105246467152179493026834382229349163729437764833155930388731687793177232909314841344394497758437964600820953548694253712680425411891073391647438853444814076519628028559845588696150633263914008903970064515494219294610924534644931939603162783812294508151515120445406714983366705375282356168332974767155403206735456713342375862238075736368151629412846093570905904478226031405366542162439621433881823657099545292420684878912312626181082146967309398797688031213054252498386019268247927943086681209678508121047063975969497078498357309342468197584273432349180235968914350189850589843077117130848639266304480430636935866771986961098640288454437223829499887493794558779626289913215456356295774249228102923836187624470019508945879909103686224908455458519603110203333603427148983740511674005225550030685399309673756014436961636962922673513693188811255073158044268426909260509580727426942746284247839957037185379232}
{:process 0, :type :invoke, :f :read, :value nil}
{:process 1, :type :invoke, :f :write, :value 244619964317464280406919508770016677693244283803853565627416617297956500120421706372036707360290107759973235336163589259105246467152179493026834382229349163729437764833155930388731687793177232909314841344394497758437964600820953548694253712680425411891073391647438853444814076519628028559845588696150633263914008903970064515494219294610924534644931939603162783812294508151515120445406714983366705375282356168332974767155403206735456713342375862238075736368151629412846093570905904478226031405366542162439621433881823657099545292420684878912312626181082146967309398797688031213054252498386019268247927943086681209678508121047063975969497078498357309342468197584273432349180235968914350189850589843077117130848639266304480430636935866771986961098640288454437223829499887493794558779626289913215456356295774249228102923836187624470019508945879909103686224908455458519603110203333603427148983740511674005225550030685399309673756014436961636962922673513693188811255073158044268426909260509580727426942746284247839957037185379232}
{:process 2, :type :invoke, :f :write, :value 244619964317464280406919508770016677693244283803853565627416617297956500120421706372036707360290107759973235336163589259105246467152179493026834382229349163729437764833155930388731687793177232909314841344394497758437964600820953548694253712680425411891073391647438853444814076519628028559845588696150633263914008903970064515494219294610924534644931939603162783812294508151515120445406714983366705375282356168332974767155403206735456713342375862238075736368151629412846093570905904478226031405366542162439621433881823657099545292420684878912312626181082146967309398797688031213054252498386019268247927943086681209678508121047063975969497078498357309342468197584273432349180235968914350189850589843077117130848639266304480430636935866771986961098640288454437223829499887493794558779626289913215456356295774249228102923836187624470019508945879909103686224908455458519603110203333603427148983740511674005225550030685399309673756014436961636962922673513693188811255073158044268426909260509580727426942746284247839957037185379232}
{:process 1, :type :ok, :f :write, :value 244619964317464280406919508770016677693244283803853565627416617297956500120421706372036707360290107759973235336163589259105246467152179493026834382229349163729437764833155930388731687793177232909314841344394497758437964600820953548694253712680425411891073391647438853444814076519628028559845588696150633263914008903970064515494219294610924534644931939603162783812294508151515120445406714983366705375282356168332974767155403206735456713342375862238075736368151629412846093570905904478226031405366542162439621433881823657099545292420684878912312626181082146967309398797688031213054252498386019268247927943086681209678508121047063975969497078498357309342468197584273432349180235968914350189850589843077117130848639266304480430636935866771986961098640288454437223829499887493794558779626289913215456356295774249228102923836187624470019508945879909103686224908455458519603110203333603427148983740511674005225550030685399309673756014436961636962922673513693188811255073158044268426909260509580727426942746284247839957037185379232}
{:process 2, :type :ok, :f :write, :value 244619964317464280406919508770016677693244283803853565627416617297956500120421706372036707360290107759973235336163589259105246467152179493026834382229349163729437764833155930388731687793177232909314841344394497758437964600820953548694253712680425411891073391647438853444814076519628028559845588696150633263914008903970064515494219294610924534644931939603162783812294508151515120445406714983366705375282356168332974767155403206735456713342375862238075736368151629412846093570905904478226031405366542162439621433881823657099545292420684878912312626181082146967309398797688031213054252498386019268247927943086681209678508121047063975969497078498357309342468197584273432349180235968914350189850589843077117130848639266304480430636935866771986961098640288454437223829499887493794558779626289913215456356295774249228102923836187624470019508945879909103686224908455458519603110203333603427148983740511674005225550030685399309673756014436961636962922673513693188811255073158044268426909260509580727426942746284247839957037185379232}
{:process 4, :type :ok, :f :write, :value 244619964317464280406919508770016677693244283803853565627416617297956500120421706372036707360290107759973235336163589259105246467152179493026834382229349163729437764833155930388731687793177232909314841344394497758437964600820953548694253712680425411891073391647438853444814076519628028559845588696150633263914008903970064515494219294610924534644931939603162783812294508151515120445406714983366705375282356168332974767155403206735456713342375862238075736368151629412846093570905904478226031405366542162439621433881823657099545292420684878912312626181082146967309398797688031213054252498386019268247927943086681209678508121047063975969497078498357309342468197584273432349180235968914350189850589843077117130848639266304480430636935866771986961098640288454437223829499887493794558779626289913215456356295774249228102923836187624470019508945879909103686224908455458519603110203333603427148983740511674005225550030685399309673756014436961636962922673513693188811255073158044268426909260509580727426942746284247839957037185379232}
{:process 0, :type :ok, :f :read, :value 669640427782285896881748987091250334578266497996876941941640087020679406367286864770084161369063241193921649547134132869197216650991285371548251987183295248804093233760134961052780332056856277790198302098115515648845642470169170932131165826402406062401418647650193202714354594312862925789576785328529174755309587989650727307959703631206956805513770743675580652035157752554035502698177626881087512409667080542921938612290611384725983683657861154117368549699361051331696694729433361227306354652885977836229484921065797523998199906681435594088304093748239378460249384043663493892486431360308322473097365804115555398746776820099399255937358003842638305180419368413107964766142535488196159016159499385954680065623435270491209178206003482680262727274514836763786586946336373745492945520326797377164717366830691887652694585234140533489094354434212683231976402665005114849205846006521828489647347980366507281814568652790865591401767319038439805890182160839090168109024069960759989395380509736548670079997184292134862814887654613610}
{:process 3, :type :ok, :f :write, :value 244619964317464280406919508770016677693244283803853565627416617297956500120421706372036707360290107759973235336163589259105246467152179493026834382229349163729437764833155930388731687793177232909314841344394497758437964600820953548694253712680425411891073391647438853444814076519628028559845588696150633263914008903970064515494219294610924534644931939603162783812294508151515120445406714983366705375282356168332974767155403206735456713342375862238075736368151629412846093570905904478226031405366542162439621433881823657099545292420684878912312626181082146967309398797688031213054252498386019268247927943086681209678508121047063975969497078498357309342468197584273432349180235968914350189850589843077117130848639266304480430636935866771986961098640288454437223829499887493794558779626289913215456356295774249228102923836187624470019508945879909103686224908455458519603110203333603427148983740511674005225550030685399309673756014436961636962922673513693188811255073158044268426909260509580727426942746284247839957037185379232}
{:process 1, :type :invoke, :f :write, :value 253164551013221477019341747428256764232555099137858984280945960738271646145070975965303697195361108465079709996695145725456284395333853043934715230804560380712457853159665046661863210440524781466992158682441647969135409898956556983061407561380413953932949526314710061839969921428932348390932425643727945858102217451482597939606098904610422843708078328013275897687358313529012129153156575275145192126698611023948256025573089618032691672877181208821580888760775954022529458570573851831938107602026490636405665160455648651511935685840401089505742226183236550230716068386258923447076611286419401209037772796030850613942883955276101091260893190352668048345165705006152151680717104100964573265765382718906190900510526293711288938219229838840893156775367687493236458363448457864653109079039382928954210087065423853782988836248235857985883427724222712595139164640550048580455977148619122358723970904752009519445207341577661168178676098049103646570749605733551630459255385859408492355128405768704641170677727587824357397975747333542}
